tweet_id,text,location,date
1630272045165727744,WHY IS IT SO COLD AND RAINING SO MUCH,"Hillsborough, CA",2023-02-27
1630271804483706881,"THEFT - COLD at 500 SW 10TH AVE, PORT [Portland Police #PP23000052887] 10:09 #pdx911","Portland, OR",2023-02-27
1630271648946614274,We’ve built quite a few accessory dwelling units in CA over the past few years. New CA zoning laws have basically w… https://t.co/awzg0cgzWf,"Manhattan Beach, CA",2023-02-27
1630271574833082369,@itsJeffTiedrich Covid is just a cold. People are not dying from Covid; they’re dying WITH Covid.,"Medford, NJ",2023-02-27
1630271521267564545,@giftfrmneptune Lmaoo I’d go to Colorado to visit not live cause it’s too cold. Come visit I’m in HTX I like it’s not bad lol,"Sugar Land, TX",2023-02-27
1630278745738170368,"Feb 24, 2023 @ChiPublicHealth Chicago Flu Update #AskDrArwady https://t.co/R5VitquiyF @RPCoalition @SantitaJ @BwopC… https://t.co/bUDUeVx22C","Chicago, IL",2023-02-27
1630278723034308608,"At 9:58 AM PST, 2 S Cold Springs Valley [Washoe Co, NV] MESONET reports NON-TSTM WND GST of M46 MPH. MESONET STATIO… https://t.co/5WJAbu1Ba5","Cold Springs, NV",2023-02-27
1630278322281168899,@majadi_patrick @TheBetterGreek @Anania00 @gardenoutro And all because Brian opened his cold sore filled mouth,"St Petersburg, FL",2023-02-27
1630278320603504640,@ThatsMrD @queensofbravo That's cold,"Kansas, USA",2023-02-27
1630278201262895105,Risking reconstructions relegated to junk science and the cold hard facts of that DEVASTATING timeline carrying the… https://t.co/ikOrRfKx3H,"Tallahassee, FL",2023-02-27
1630278100960542720,how is it already about to be march 2023 i’m still barely tryna process early cold war tensions,"San Diego, CA",2023-02-27
1630277343691558918,"THEFT - COLD at 900 SE 37TH AVE, PORT [Portland Police #PP23000052881] 10:21 #pdx911","Portland, OR",2023-02-27
1630277099272679425,"Always my go to playlist on a cold snowy days like this, funny thing is I found this when living in LA

https://t.co/s82JqCGWMY","Seattle, WA",2023-02-27
1630276885019078657,"THE BOY JUST COUGHED ON ME, im leaving. i have a cough too, but do u see me spewing my germs on uuuu!!!!!????","East Cleveland, OH",2023-02-27
1630276845022355457,"THEFT - COLD at 1600 SE UMATILLA ST, PORT [Portland Police #PP23000052798] 08:27 #pdx911","Portland, OR",2023-02-27
1630276843856117762,"VANDALISM - COLD at 1500 S HARBOR WAY, PORT [Portland Police #PP23000052913] 10:08 #pdx911","Portland, OR",2023-02-27
1630276841675038721,"THEFT - COLD at 5800 SE 82ND AVE, PORT [Portland Police #PP23000052918] 10:13 #pdx911","Portland, OR",2023-02-27
1630276840253259776,"BURGLARY - COLD at 200 SW YAMHILL ST, PORT [Portland Police #PP23000052846] 10:23 #pdx911","Portland, OR",2023-02-27
1630275866533203968,Summer is going to hit different this year with all this rain and cold weather we’ve had.,"San Dimas, CA",2023-02-27
1630275835784736768,"VANDALISM - COLD at 2200 NW THURMAN ST, PORT [Portland Police #PP23000052891] 09:42 #pdx911","Portland, OR",2023-02-27
1630275834618560516,"VEHICLE STOLEN - COLD at 1000 SW BROADWAY , PORT [Portland Police #PP23000052871] 09:58 #pdx911","Portland, OR",2023-02-27
1630275167984263169,"In this week's Cooking in the truck, it's crockpot chili from Jow Sewell. Chili is a vital meal to have on cold win… https://t.co/a1dsaOAwLj","Georgia, USA",2023-02-27
